CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,FRONTINO,06/23/1997 12:00:00 AM,FEMENINO,ORIENTE,MARINILLA,ESTRATO 1,NINGUNO,0,COREDI,TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES,MARINILLA,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,04/13/1998 12:00:00 AM,FEMENINO,ORIENTE,SONSON,ESTRATO 1,NINGUNO,0,COREDI,TECNOLOGIA EN PRODUCCION AGROECOLOGICA,MARINILLA,TECNOLOGICA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,PEQUE,01/12/1999 12:00:00 AM,FEMENINO,OCCIDENTE,PEQUE,ESTRATO 2,NINGUNO,1,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,COMUNICACION SOCIAL,SANTA ROSA DE OSOS,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,VALDIVIA,12/15/1994 12:00:00 AM,FEMENINO,NORTE,SANTA ROSA DE OSOS,ESTRATO 2,NINGUNO,0,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,COMUNICACION SOCIAL,SANTA ROSA DE OSOS,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,YARUMAL,07/30/1999 12:00:00 AM,MASCULINO,NORTE,YARUMAL,ESTRATO 2,NINGUNO,0,FUNDACION UNIVERSITARIA CATOLICA DEL NORTE,INGENIERIA INFORMATICA,SANTA ROSA DE OSOS,UNIVERSITARIA,0
2015,2,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,VALPARAISO,03/28/1993 12:00:00 AM,MASCULINO,SUROESTE,TAMESIS,ESTRATO 1,INDIGENA,1,TECNOLOGICO DE ANTIOQUIA,LICENCIATURA EN EDUCACION PREESCOLAR,LA PINTADA,UNIVERSITARIA,1
2015,2,MATRÍCULA,VALLE DEL CAUCA,CALI,06/20/1992 12:00:00 AM,MASCULINO,ORIENTE,SAN RAFAEL,ESTRATO 2,NINGUNO,0,UNIVERSIDAD CATOLICA DE ORIENTE,LIC. EN LENGUAS EXTRANJERAS,RIONEGRO,UNIVERSITARIA,1
2015,2,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SEGOVIA,10/13/1990 12:00:00 AM,MASCULINO,NORDESTE,YOLOMBO,ESTRATO 2,NINGUNO,1,INSTITUCION UNIVERSITARIA PASCUAL BRAVO,TECNOLOGIA EN SISTEMAS MECATRONICOS,YOLOMBO,TECNOLOGICA,1
2015,2,MATRÍCULA Y SOSTENIMIENTO,SANTANDER,BUCARAMANGA,08/09/1994 12:00:00 AM,FEMENINO,ORIENTE,RIONEGRO,ESTRATO 3,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN GESTION INDUSTRIAL,RIONEGRO,TECNOLOGICA,0
2015,2,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,APARTADO,04/23/1997 12:00:00 AM,FEMENINO,URABA,CHIGORODO,ESTRATO 1,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,TECNOLOGIA EN SISTEMAS DE INFORMACION,APARTADO,TECNOLOGICA,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,10/30/1995 12:00:00 AM,MASCULINO,SUROESTE,ANDES,ESTRATO 1,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,COMUNICACION SOCIAL Y PERIODISMO,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,EL CARMEN DE VIBORAL,11/01/1994 12:00:00 AM,FEMENINO,ORIENTE,EL CARMEN DE VIBORAL,ESTRATO 3,NINGUNO,0,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,CONTADURIA PUBLICA,RIONEGRO,UNIVERSITARIA,0
